Paper_ID,Paper_Name,Title,Crop,DOI,Pages,Words,Status,Duplicate_Flag,Duplicate_With,Processing_Time_s
PAPER_1_s2_0_S0016706106001686_main,1-s2.0-S0016706106001686-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0016706120325842_main,1-s2.0-S0016706120325842-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0016706123001490_main,1-s2.0-S0016706123001490-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0038071716300761_main,1-s2.0-S0038071716300761-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0038071719300793_main,1-s2.0-S0038071719300793-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0045653522010621_main,1-s2.0-S0045653522010621-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0048969720328382_main,1-s2.0-S0048969720328382-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0048969721016284_main,1-s2.0-S0048969721016284-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S004896972105542X_main,1-s2.0-S004896972105542X-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167198712001547_main,1-s2.0-S0167198712001547-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167198718300722_main,1-s2.0-S0167198718300722-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167198720305808_main,1-s2.0-S0167198720305808-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167880911000818_main,1-s2.0-S0167880911000818-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167880914003375_main,1-s2.0-S0167880914003375-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167880916301980_main,1-s2.0-S0167880916301980-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0167880922002316_main,1-s2.0-S0167880922002316-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0269749121013233_main,1-s2.0-S0269749121013233-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0301479721013128_main,1-s2.0-S0301479721013128-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0304387821001450_main,1-s2.0-S0304387821001450-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0378377409001681_main,1-s2.0-S0378377409001681-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0378377420321028_main,1-s2.0-S0378377420321028-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0378377421004911_main,1-s2.0-S0378377421004911-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0378377423001919_main,1-s2.0-S0378377423001919-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0378429017309723_main,1-s2.0-S0378429017309723-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0925857415001810_main,1-s2.0-S0925857415001810-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0929139316302864_main,1-s2.0-S0929139316302864-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S0929139321000974_main,1-s2.0-S0929139321000974-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1_s2_0_S1161030122001897_main,1-s2.0-S1161030122001897-main.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_10july22,10july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_14july22,14july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_15july22,15july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_17july22,17july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_18july22,18july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_19july22,19july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1July20,1July20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_1july22,1july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_20july22,20july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_24july22,24july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_25july22,25july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_26july22,26july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_27july22,27july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_28july22,28july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_29july22,29july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_2July20,2July20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_2july22,2july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_30july22,30july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_31july22,31july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_32july22,32july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_33july22,33july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_34july22,34july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_35july22,35july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_36july22,36july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_37july22,37july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_38july22,38july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_39july22,39july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_3july20,3july20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_3july22,3july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_4july20,4july20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_4july22,4july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_5july20,5july20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_5july22,5july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_6july20,6july20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_6july22,6july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_7july20,7july20.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_7july22,7july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_8july22,8july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_9july22,9july22.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_agronomy_09_00776_v2,agronomy-09-00776-v2.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_agronomy_11_00636_v2,agronomy-11-00636-v2.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_agronomy_15_00961_v2,agronomy-15-00961-v2.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_Bell_pepper,Bell pepper.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_Black_wheat,Black wheat.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_Carrot,Carrot.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_Cowpea_paper_publish,Cowpea paper publish.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_fagro_04_848621,fagro-04-848621.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_fpls_12_748523,fpls-12-748523.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_fpls_16_1521113,fpls-16-1521113.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_J_Sci_Food_Agric___2020___Singh___Agricu,J Sci Food Agric - 2020 - Singh - Agricultural practices modulate the bacterial communities  and nitrogen cycling bacterial.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_Land_Degrad_Dev___2018___Maltas___The_ef,Land Degrad Dev - 2018 - Maltas - The effects of organic and mineral fertilizers on carbon sequestration  soil properties .pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_Land_Degrad_Dev___2021___Yadav___Sustain,Land Degrad Dev - 2021 - Yadav - Sustaining the properties of black soil in Central India through crop residue management.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_s11368_014_0989_y,s11368-014-0989-y.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_s11368_018_1933_3,s11368-018-1933-3.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
PAPER_s13593_023_00923_7,s13593-023-00923-7.pdf,(Previously processed),,,0,0,Previously Processed,No,,0
